vebli,block,totrev,shifts,high,firstblock,block1,block2,block3,maxhigh,other,group,shifts_fe,totrev_fe,experiment,odd,fahrer,_merge,_est_rev1,_est_rev2,_est_rev3,_est_rev4,_est_shift1,_est_shift2,_est_shift3,_est_shift4
1,1,3090.9,13,0,14836,1,0,0,1,0,"CG Veloblitz",6,1396.6,0,1,1,3,1,1,1,1,1,1,1,1
1,2,1210,5,1,14864,0,1,0,1,0,"TG Veloblitz",-2,-484.3,1,1,1,3,1,1,1,1,1,1,1,1
1,3,782,3,0,14913,0,0,1,1,0,"CG Veloblitz",-4,-912.3,1,1,1,3,1,1,1,1,1,1,1,1
1,1,2308.5,8,0,14836,1,0,0,1,0,"CG Veloblitz",1.333333,177.5,0,1,2,3,1,1,1,1,1,1,1,1
1,2,2148,6,1,14864,0,1,0,1,0,"TG Veloblitz",-.6666665,17,1,1,2,3,1,1,1,1,1,1,1,1
1,3,1936.5,6,0,14913,0,0,1,1,0,"CG Veloblitz",-.6666665,-194.5,1,1,2,3,1,1,1,1,1,1,1,1
1,1,3552.5,9,0,14836,1,0,0,1,0,"CG Veloblitz",3,1111,0,0,3,3,1,1,1,1,1,1,1,1
1,2,1889,4,0,14864,0,1,0,1,0,"CG Veloblitz",-2,-552.5,1,0,3,3,1,1,1,1,1,1,1,1
1,3,1883,5,1,14913,0,0,1,1,0,"TG Veloblitz",-1,-558.5,1,0,3,3,1,1,1,1,1,1,1,1
1,2,930.4,4,1,14864,0,1,0,1,0,"TG Veloblitz",2,465.2,1,1,5,3,1,1,1,1,1,1,1,1
1,3,0,0,0,14913,0,0,1,1,0,"CG Veloblitz",-2,-465.2,1,1,5,3,1,1,1,1,1,1,1,1
1,1,1519.5,5,0,14836,1,0,0,1,0,"CG Veloblitz",-4.333333,-1712.3,0,1,6,3,1,1,1,1,1,1,1,1
1,2,3874.5,11,1,14864,0,1,0,1,0,"TG Veloblitz",1.666667,642.7,1,1,6,3,1,1,1,1,1,1,1,1
1,3,4301.4,12,0,14913,0,0,1,1,0,"CG Veloblitz",2.666667,1069.6,1,1,6,3,1,1,1,1,1,1,1,1
1,1,5717.4,18,0,14836,1,0,0,1,0,"CG Veloblitz",10.33333,3272.933,0,0,7,3,1,1,1,1,1,1,1,1
1,2,0,0,0,14864,0,1,0,1,0,"CG Veloblitz",-7.666667,-2444.467,1,0,7,3,1,1,1,1,1,1,1,1
1,3,1616,5,1,14913,0,0,1,1,0,"TG Veloblitz",-2.666667,-828.4666,1,0,7,3,1,1,1,1,1,1,1,1
1,1,2440,7,0,14836,1,0,0,1,0,"CG Veloblitz",2.666667,852.6666,0,0,8,3,1,1,1,1,1,1,1,1
1,2,0,0,0,14864,0,1,0,1,0,"CG Veloblitz",-4.333333,-1587.333,1,0,8,3,1,1,1,1,1,1,1,1
1,3,2322,6,1,14913,0,0,1,1,0,"TG Veloblitz",1.666667,734.6666,1,0,8,3,1,1,1,1,1,1,1,1
1,1,5175.5,15,0,14836,1,0,0,1,0,"CG Veloblitz",-2.333334,-431,0,0,9,3,1,1,1,1,1,1,1,1
